target,n_classes,n_components,accuracy,f1_macro,roc_auc_macro,auprc_macro
dinuc_TA,5,16,0.6724137931034483,0.6721073402984049,0.9162396666659014,0.7101352273114286
dinuc_TA,5,32,0.6798138541348795,0.6793795634859114,0.9203417157095171,0.7175106184959522
dinuc_TA,5,64,0.6869850472993592,0.6865921161782971,0.9232214392455876,0.723941822674547
dinuc_TA,5,128,0.6947665547757095,0.6943380316006448,0.9252820811379296,0.7324504100866542
dinuc_TA,5,256,0.6906469331705829,0.6900679905451624,0.9240749693960921,0.7281619169233797
dinuc_TA,5,512,0.6877479401891974,0.6868953416889131,0.9235120546221657,0.725404794515918
dinuc_TA,5,768,0.6866798901434239,0.6853198607009025,0.9221851377653874,0.723172691531454
dinuc_AA,5,0,0.20216661580714068,0.20008491364174175,0.5015206957290713,0.20169412168074988
dinuc_AA,5,1,0.22123893805309736,0.21571367507809808,0.5254095834665533,0.21509389983508753
dinuc_AA,5,2,0.5112145254806225,0.5103409587261165,0.8230777196487793,0.5345501069270673
dinuc_AA,5,3,0.5279218797680806,0.5276405993830977,0.83260651199504,0.5460135031822959
dinuc_AA,5,4,0.5596582239853525,0.5584476732605258,0.8540923873938666,0.5824969960635707
dinuc_AA,5,8,0.6644034177601464,0.6646130408433443,0.9141376829733698,0.7016851514282106
dinuc_AA,5,16,0.6799664327128471,0.6798820441906676,0.920583377509883,0.717608688726272
dinuc_AA,5,32,0.6859169972535856,0.6857041481528721,0.9241866935305397,0.725931849358879
dinuc_AA,5,64,0.696292340555386,0.6965879533329076,0.928651833660119,0.7382657323613884
dinuc_AA,5,128,0.7010222764723832,0.7008249546003843,0.9287726636629875,0.7391974426833003
dinuc_AA,5,256,0.6995727799816905,0.6989401065455982,0.9290715641467182,0.7427765414151726
dinuc_AA,5,512,0.6974366798901435,0.6965432246983797,0.927712030374412,0.7377430975007128
dinuc_AA,5,768,0.6953005797985963,0.6943955790291543,0.9273959508326151,0.7376432125324904
dinuc_TT,5,0,0.19774183704607873,0.19750364495073267,0.5035559011251601,0.20103397210378943
dinuc_TT,5,1,0.23916692096429662,0.22811969315335406,0.5541098984728053,0.23576697274535738
dinuc_TT,5,2,0.4448428440646933,0.4425793342340437,0.7684909186940186,0.4620206668989815
dinuc_TT,5,3,0.48725968873970094,0.48235021998495153,0.8054306791281499,0.5053637948422558
dinuc_TT,5,4,0.5522581629539213,0.5501082657505364,0.8509834136359006,0.5811343746632048
dinuc_TT,5,8,0.6361763808361306,0.6353326438327326,0.8976752318358561,0.6650218444211482
dinuc_TT,5,16,0.6558590173939579,0.6552034256287081,0.9084581234140872,0.6910292618719307
dinuc_TT,5,32,0.6746261824839792,0.6732319516281468,0.915923895271529,0.7067360453313715
dinuc_TT,5,64,0.6775251754653646,0.6758161983479568,0.9184048300233517,0.7136130736423725
dinuc_TT,5,128,0.6769911504424779,0.6751382039071127,0.9179539218608124,0.7122681907159711
dinuc_TT,5,256,0.6761519682636558,0.6740911391214824,0.9184046185025725,0.7141102197570228
dinuc_TT,5,512,0.6766097039975587,0.6739252272321699,0.917659520697865,0.7122225720279266
dinuc_TT,5,768,0.6763808361306073,0.673826001080353,0.9172079675668472,0.711138624086512
